Minisector,ALO,RUS,Fastest
0,301.04494736128095,310.5209711643592,RUS
1,230.6516954019159,246.57503877723613,RUS
2,127.88922286953172,120.74970313345247,ALO
3,235.975832183296,237.77615599223765,RUS
4,194.10544624470435,194.45418042073234,RUS
5,244.08800194066026,244.24761051606677,RUS
6,230.9082035058128,226.2584520851206,ALO
7,258.5680701195765,256.84367866455716,ALO
8,290.2361918781649,295.3197748104211,RUS
9,206.504999845152,207.63057231995657,RUS
10,210.00537632206348,202.6672989116336,ALO
11,271.92178831125915,277.1118251528738,RUS
12,209.4995970159997,215.82233200188352,RUS
13,256.1021951349184,250.91482753805786,ALO
14,292.80063391981423,297.78233879863706,RUS
15,307.43078953838506,314.1241553022222,RUS
16,304.050409063663,319.92089661000756,RUS
17,211.4562972049056,203.85639048931552,ALO
18,261.9881663508379,255.51347527011524,ALO
19,294.67954898031746,298.85443007595626,RUS
20,308.89315791949207,315.49541002397456,RUS
21,309.80015412714357,319.8144821962888,RUS
22,149.80585831349583,155.02179287827838,RUS
23,231.2912641671111,225.35312743285644,ALO
24,285.49477060016034,288.018825583409,RUS
25,,301.68266688,RUS
