Minisector,PER,BOT,Fastest
0,281.8640350315789,286.99722960380956,BOT
1,157.51691449862537,148.21191287496853,PER
2,175.273571884088,166.2261102419853,PER
3,245.09765668688644,244.98149179193678,PER
4,277.3854341277702,279.7489876973109,BOT
5,246.50199065671393,232.09403731136246,PER
6,227.74385166261808,204.24623886926406,PER
7,160.12923715152075,153.67493002528917,PER
8,230.06793618751897,228.0429922019599,PER
9,277.3574397658874,279.3392739951887,BOT
10,296.0202167716384,296.94980676184446,BOT
11,306.16257517233083,305.67756581894736,PER
12,309.72676767030305,309.8712105407413,BOT
13,307.1784431109788,307.44822802050766,BOT
14,126.3119024425292,133.1227452229283,BOT
15,112.54846789329156,123.00383304900878,BOT
16,98.79810827495146,92.14204158165943,PER
17,235.58210230095236,227.7469439843296,PER
18,282.2592963398818,279.9392409979126,PER
19,302.4924060642517,300.43690077845116,PER
20,314.0126625102222,310.7342546218138,PER
21,317.43272323428573,315.27257938793656,PER
22,122.28203178904718,136.8851100085164,BOT
23,205.1069928638133,182.067617686824,PER
24,262.1040353253594,262.5635731612656,BOT
25,,278.68666624,BOT
