Minisector,RUS,NOR,Fastest
0,298.2225074952657,301.09382216756654,NOR
1,164.16274690398532,155.67275792391825,RUS
2,157.1810052797581,150.34680330423186,RUS
3,228.35152345991986,223.8290217949978,RUS
4,284.22683408618514,284.37346474942785,NOR
5,291.43174546204443,284.89373814265736,RUS
6,147.91269529267083,152.84637451034558,NOR
7,151.2400564457811,137.6066916713836,RUS
8,149.29112784126986,148.60188021996368,RUS
9,182.52237854276973,163.78242428234987,RUS
10,134.29853257347176,132.66375731540407,RUS
11,130.49561856181214,130.11460746869616,RUS
12,168.81248850101326,147.78192156997844,RUS
13,268.8411015613007,260.90156672181604,RUS
14,293.0373253337566,289.22254081517787,RUS
15,145.79520604186425,151.48269070216654,NOR
16,214.34372558181417,213.98602660904575,RUS
17,174.32411800862832,157.33632913500637,RUS
18,271.91600041964483,266.6970169920761,RUS
19,295.2352596368254,294.1834152865535,RUS
20,306.53306934041643,308.7787232796838,NOR
21,313.44976865185185,315.61631178746865,NOR
22,317.4106923768595,320.1987404388184,NOR
23,319.2898597877551,322.61639592503235,NOR
24,319.98530612244895,321.98412326035543,NOR
25,,317.8984122920635,NOR
