Minisector,GAS,NOR,Fastest
0,308.70208531319724,308.7430213422222,NOR
1,196.72762314760732,189.54582891032427,GAS
2,111.70978030310928,112.46577834359043,NOR
3,193.6485560942153,192.53491534383772,GAS
4,253.4878915194846,254.31695803481537,NOR
5,285.1696088099567,282.5428567695238,GAS
6,302.0901442841527,299.3022397696192,GAS
7,227.90017392909576,231.5442373355102,NOR
8,146.7072305659492,146.00873741658577,GAS
9,229.1146030374603,228.39055806048455,GAS
10,270.79424169385624,270.23520512956117,GAS
11,224.77108490473165,221.5018445630805,GAS
12,170.09171138667867,178.38623042013606,NOR
13,109.17280162746401,106.2586281074033,GAS
14,105.28027690338972,105.67792017518038,NOR
15,136.12449812843693,132.20658555693146,GAS
16,114.59964573980129,115.39247707225837,NOR
17,203.26495455753727,208.47492938136645,NOR
18,157.30525030532309,154.75354064632714,GAS
19,152.31821862042952,152.17698760567248,GAS
20,241.76257158929397,240.75734199238065,GAS
21,271.40628227555555,273.6538430297643,NOR
22,290.85629353238596,291.70158950285713,NOR
23,302.45868035555554,302.9310508951396,NOR
24,307.84615384615387,308.46927468033465,NOR
25,308.0,,GAS
