Minisector,HAM,GRO,Fastest
0,292.83731493901416,283.8154586135642,HAM
1,312.18196454857144,300.56983740641834,HAM
2,306.05241153657437,295.74058295411254,HAM
3,180.51718063853133,180.47375206012654,HAM
4,228.69974093030015,221.79486169799452,HAM
5,205.82137736049083,199.03869084285714,HAM
6,192.95043267051065,192.20592556949143,HAM
7,220.0228447264368,212.15463962167487,HAM
8,263.522188027898,255.48832677466643,HAM
9,258.7739100126984,257.7296901485714,HAM
10,177.11991556879653,175.1729966762657,HAM
11,246.09479981226667,240.41138165770911,HAM
12,118.7596599985724,117.65276978941083,HAM
13,231.66172054229014,233.48466407553533,GRO
14,280.05714240000003,274.9912880969697,HAM
15,291.25812330256093,285.89613876817106,HAM
16,210.95825894930874,201.29071313761872,HAM
17,186.68739840069907,184.0641177613957,HAM
18,274.51003694545454,267.3695132024845,HAM
19,301.77013765090396,291.88702535881305,HAM
20,313.9406248,304.0014991554976,HAM
21,314.381547784127,302.23809523809524,HAM
22,272.6429847536232,252.953113925584,HAM
23,118.33427417645011,116.46121281146355,HAM
24,244.48471699010082,243.37182495238096,HAM
25,278.27142765714285,,HAM
