Minisector,HAM,BOT,Fastest
0,309.8707383216562,292.902976152381,HAM
1,316.21469299649124,295.22687498666664,HAM
2,311.2701392,296.42324564210526,HAM
3,231.7503755125596,237.64871213898496,BOT
4,222.91430959706958,239.6027067848812,BOT
5,118.62423670695226,119.37720395018545,BOT
6,214.71865668793708,219.44660543209878,BOT
7,268.002650569697,270.0965128489796,BOT
8,233.63267165866665,240.2646407192381,BOT
9,118.4729541407897,118.68357647479735,BOT
10,234.40859908944188,236.95514464368313,BOT
11,244.67699357681158,259.17543315670997,BOT
12,139.7075654950058,140.1993841196099,BOT
13,210.20954257495592,215.82868620227867,BOT
14,268.0868926926077,271.63595133339135,BOT
15,229.36512722962962,238.0402881584762,BOT
16,157.04175788444445,158.87829284044872,BOT
17,238.38699925333333,241.36998964444444,BOT
18,125.74903215591162,125.42668293097695,HAM
19,148.1324012550392,151.5357858021661,BOT
20,190.4363859657143,201.60336450311988,BOT
21,261.1419849956693,262.4725313559984,BOT
22,278.2791663746032,279.24666656,BOT
23,285.26150764263036,285.2962299936508,BOT
24,290.79344053864634,292.9276691398848,BOT
25,293.0,297.0,BOT
