Minisector,HAM,NOR,Fastest
0,291.2101730978355,291.83077241021596,NOR
1,300.208458562406,303.08261266766914,NOR
2,305.10952379348373,309.3583958536341,NOR
3,303.0184210526316,300.1413963015139,HAM
4,179.66512336500148,165.48738456296297,HAM
5,221.09095238095236,210.85850204507412,HAM
6,242.78040338778735,234.74349926399998,HAM
7,270.6031178376417,267.13294835459226,HAM
8,263.0627696197012,244.17327430062113,HAM
9,170.76811290746957,164.3208511273634,HAM
10,233.86900036266667,229.50588210590476,HAM
11,140.1856248407939,134.06960078198617,HAM
12,229.76170187408596,231.51165502857143,NOR
13,196.1084868374808,180.75264918853026,HAM
14,226.41376478905514,220.57499864615386,HAM
15,249.374689510559,245.89726679992862,HAM
16,265.8681818181818,265.85694384761905,HAM
17,285.9200548689439,289.4965100133333,NOR
18,130.18840572753624,122.54685686691698,HAM
19,168.84672146190002,163.4975170996932,HAM
20,151.98732308352487,149.44884008822055,HAM
21,165.78506802721088,151.39699206552382,HAM
22,120.78711691287646,116.50726224559767,HAM
23,230.86810083453693,233.39216569295237,NOR
24,271.11071418049886,279.55550512308866,NOR
25,283.13749973333336,,HAM
