Minisector,GAS,MAG,Fastest
0,267.9856342405211,271.01669932308187,MAG
1,285.6338365947584,288.9573803553713,MAG
2,292.84782571226924,293.38848050196077,MAG
3,126.61508501971278,129.76662674332192,MAG
4,194.35389247042076,193.89512988742382,GAS
5,253.16402154279558,256.82495869374645,MAG
6,139.41831244862283,144.2407249201559,MAG
7,203.8152968679089,199.99707194494493,GAS
8,257.8039887227701,256.98561455901415,GAS
9,278.25416634074077,280.456117585045,MAG
10,224.81139217766008,239.97602913162058,MAG
11,179.04898627204136,184.54914030273278,MAG
12,193.3281836307066,187.37296898876386,GAS
13,144.60655034689344,145.18457105039366,MAG
14,173.00775827285176,171.4374729393868,GAS
15,156.30367592233148,155.1774421859133,GAS
16,217.96353165674026,212.87000054285292,GAS
17,228.96735651367865,239.6370563393657,MAG
18,233.34625297277793,236.52287665093345,MAG
19,238.35019873929733,241.88707423966986,MAG
20,144.21880177516385,141.60006300438954,GAS
21,134.74983148840457,136.45196044158797,MAG
22,172.37636683445288,165.4913099093656,GAS
23,149.48475091198443,147.05634084864676,GAS
24,227.55137713263366,228.12540009976883,MAG
