Minisector,VER,OCO,Fastest
0,290.45461195541577,290.74730835333503,OCO
1,160.66243825620208,163.98589312178245,OCO
2,175.7634158556125,170.62114317820004,VER
3,252.69619308538577,251.9112132040917,VER
4,285.6556672842512,283.0496469181103,VER
5,246.16699236173915,241.58923437249496,VER
6,222.10007837090987,225.26632452586972,OCO
7,153.11353495987754,150.56678244266655,VER
8,231.4251425337068,226.00722042264934,VER
9,281.17589088596054,280.5285767975588,VER
10,299.30648012121213,301.5119562187755,OCO
11,307.54377713670834,312.09137164888887,OCO
12,311.21413456205596,316.48530819088364,OCO
13,304.5202445118595,312.35689547655807,OCO
14,123.19573098062033,127.86599135301536,OCO
15,120.41184018529393,117.35420889534939,VER
16,106.50738484210791,98.51719511536577,VER
17,234.22122736816104,230.24520386855366,VER
18,285.1104481719728,284.47204411238096,VER
19,305.8071284876331,309.0449005956501,OCO
20,317.4993693738346,319.61753887336516,OCO
21,315.9421746560985,322.4576952671983,OCO
22,121.2637822716578,118.1116101912775,VER
23,207.09607175103665,198.91033574410116,VER
24,268.2001098942044,270.78866392573,OCO
25,282.84999999999997,286.2916672,OCO
