Minisector,PIA,ALB,Fastest
0,297.5119199927746,299.35027754158733,ALB
1,170.5059265722546,167.11325006835574,PIA
2,175.48174109373932,179.03971387859184,ALB
3,252.95768725394285,257.59269472832705,ALB
4,288.39125351339254,286.366485244839,PIA
5,253.58724090510802,246.91033313523812,PIA
6,233.62216212453134,226.27251772763523,PIA
7,157.398032446749,150.2424898246692,PIA
8,229.30860568435767,232.93124351275642,ALB
9,283.7347807047619,287.0021201518643,ALB
10,305.1311377750932,307.0736681921767,ALB
11,314.53563180440125,316.6631688673684,ALB
12,319.4846198269006,321.10074071703707,ALB
13,317.5215765982547,318.4892889964021,ALB
14,124.19838569530837,121.20508824772477,PIA
15,117.53197088204112,117.81291691498228,ALB
16,103.87297407637402,108.70226121749003,ALB
17,237.2980524051777,244.50232809604717,ALB
18,286.26661828848484,290.37750216567537,ALB
19,305.3883286030382,308.98626037816206,ALB
20,315.19712907402317,317.7284397756089,ALB
21,316.80897609916855,320.678365374359,ALB
22,122.84793037376956,123.43464250152556,ALB
23,212.00121311181022,218.59368033219502,ALB
24,271.80091471179577,275.2892482911764,ALB
25,286.9124992,,PIA
