Minisector,SAI,OCO,Fastest
0,289.7887316785708,291.220987705679,OCO
1,245.6184971634568,233.42569867543267,SAI
2,130.11966502225917,128.54897235392937,SAI
3,238.46545921325702,230.7899152647288,SAI
4,188.53221871422443,192.8173357231746,OCO
5,251.58824452022836,245.35585825618782,SAI
6,240.16540428342026,228.74447259290193,SAI
7,251.7720232925836,249.38777136489793,SAI
8,280.5749485221978,277.7773001034432,SAI
9,205.53324418222172,214.0060055629118,OCO
10,200.092534887092,204.4980911439557,OCO
11,269.4866069265306,265.0296024317016,SAI
12,207.74006791222308,205.97395328791362,SAI
13,251.82408006876085,245.8614412400657,SAI
14,288.5587712853837,288.49471326152513,SAI
15,302.4702980888889,299.2383171780117,SAI
16,301.73343771555557,294.7040002348052,SAI
17,237.660145884329,233.5232475549912,SAI
18,267.4881232885197,265.1538309998324,SAI
19,293.8115804814815,291.59464590914865,SAI
20,304.9969787885714,302.601204416273,SAI
21,301.72865522274174,298.9510144941991,SAI
22,157.18959309640633,149.31850356975679,SAI
23,230.97104592946127,231.01832431076997,OCO
24,280.72773634058626,278.8291509322751,SAI
