Minisector,MAG,SAI,Fastest
0,271.01669932308187,267.2402326192431,MAG
1,288.9573803553713,286.7000032644184,MAG
2,293.38848050196077,292.18786991531834,MAG
3,129.76662674332192,125.75517200592446,MAG
4,193.89512988742382,196.77855987119221,SAI
5,256.82495869374645,254.53487149134045,MAG
6,144.2407249201559,137.0729362554697,MAG
7,199.99707194494493,201.65533918996698,SAI
8,256.98561455901415,258.35972794533234,SAI
9,280.456117585045,280.1079824055884,MAG
10,239.97602913162058,230.98963334904875,MAG
11,184.54914030273278,169.03769855431062,MAG
12,187.37296898876386,187.4974803280432,SAI
13,145.18457105039366,139.09718929849512,MAG
14,171.4374729393868,172.0390384296296,SAI
15,155.1774421859133,153.21528647023553,MAG
16,212.87000054285292,218.48761567242255,SAI
17,239.6370563393657,224.91403991713344,MAG
18,236.52287665093345,232.28460815230102,MAG
19,246.06446411193318,231.4608564266502,MAG
20,142.21525722975068,141.77508198146143,MAG
21,136.45196044158797,130.14531538049752,MAG
22,165.4913099093656,167.10425735066727,SAI
23,147.05634084864676,144.1233718859274,MAG
24,228.12540009976883,227.9684030299543,MAG
