Minisector,SAI,RIC,Fastest
0,271.234992547297,267.9430051050273,SAI
1,243.74358052867726,228.56217187061472,SAI
2,111.36754359276395,109.6599324264106,SAI
3,165.841985205154,178.72484525641963,RIC
4,176.29425184063408,174.2087575861824,SAI
5,208.7504855293773,211.56437422821938,RIC
6,266.81484094342846,265.8887319723426,SAI
7,286.1321148795239,278.1983004491228,SAI
8,192.63587485201464,178.417821938093,SAI
9,127.58895932934908,141.44178146430414,RIC
10,128.00711912592325,128.48836527753986,RIC
11,191.80875558767565,190.18604460919946,SAI
12,224.4085954110984,208.95049402429137,SAI
13,128.41977364318623,124.71671566754428,SAI
14,145.1874984594664,141.93313602242438,SAI
15,120.69772087279686,115.72376728180598,SAI
16,247.5340478422222,244.33764895555444,SAI
17,143.71981136172886,134.4639665585316,SAI
18,192.82112973480824,192.43925169509515,SAI
19,120.81442241966468,120.004130923468,SAI
20,127.65145983290621,123.80248365801368,SAI
21,120.43731147691997,113.27782750044406,SAI
22,137.57532169604968,129.10731810726196,SAI
23,224.51920189086601,209.64058739219985,SAI
24,234.0008189000397,226.4528624404152,SAI
25,,254.82954472727272,RIC
