Minisector,VER,PIA,Fastest
0,306.13239082857143,290.51780250482756,VER
1,162.6716506444325,145.15870254666126,VER
2,218.14796545939393,235.01188286060605,PIA
3,288.010226398797,294.0712424920635,PIA
4,315.4851876957143,315.8573772485714,PIA
5,317.0623536136082,312.97936311421915,VER
6,181.73286145433232,136.9022417037642,VER
7,117.86774049322491,143.82251844817202,PIA
8,243.57298893476082,261.5982791043028,PIA
9,296.9601889238627,298.85944675878784,PIA
10,301.13392040522314,289.905996958797,VER
11,138.3265231199098,128.95457240258662,VER
12,180.0357679679597,204.61378105097643,PIA
13,244.38953756580017,248.4893228888889,PIA
14,193.26295809311048,180.4996303548527,VER
15,194.8853833599856,199.82706081818833,PIA
16,197.55880356204943,191.4498089075109,VER
17,234.82327776867623,246.25403286087374,PIA
18,280.6085041861816,284.4338544,PIA
19,294.0646093242857,294.722597706611,PIA
20,244.31537323319728,234.86315251190405,VER
21,205.9960882685972,197.46064247531135,VER
22,187.7940000365393,202.9519553133476,PIA
23,270.285089441522,281.2659285212121,PIA
24,304.1308874404762,304.7651124856189,PIA
