Minisector,BOT,OCO,Fastest
0,287.553081707563,285.2504916078431,BOT
1,136.2684770995889,122.77346745897168,BOT
2,155.52211814632577,162.46428434285716,OCO
3,223.8990559080015,211.31068634531522,BOT
4,167.38339763451478,159.4989729681445,BOT
5,245.47896719555692,245.0494133260743,BOT
6,225.00416789333335,203.25240092753623,BOT
7,138.1612749490196,134.4975149343952,BOT
8,235.12416602666667,235.11124874666666,BOT
9,277.2435112346717,279.6578337961086,OCO
10,286.45807386666667,284.081863027451,BOT
11,151.9737194961511,142.8180731763056,BOT
12,220.56541685333332,224.7536462495675,OCO
13,270.65980878127954,273.0391736952381,OCO
14,272.75882202352943,270.11194082329644,BOT
15,105.50541804657988,99.38906888443236,BOT
16,218.5573684182224,222.26705629937499,OCO
17,271.27968516285944,277.5917315,OCO
18,293.1841148,300.22750016000003,OCO
19,304.5282937498413,313.5293900285714,OCO
20,310.9295771270296,320.89467028953237,OCO
21,295.0631298761905,286.4617627607843,BOT
22,157.24515371556672,145.56733952864485,BOT
23,232.5189359458854,233.5160336579419,OCO
24,276.56586178151264,280.5634807215686,OCO
25,287.14285714285717,,BOT
