Minisector,SAI,ALB,Fastest
0,292.7017977331966,297.6810478109091,ALB
1,303.31094717018635,309.79537250424244,ALB
2,278.5200599982222,287.9587690813513,ALB
3,104.5800847575543,106.944246022651,ALB
4,214.9510803697598,223.3027955898535,ALB
5,268.6117906160951,273.0124788772185,ALB
6,211.38907978748455,201.04193279660868,SAI
7,154.90140896235872,158.32340429178893,ALB
8,194.55349104544763,192.5294343517123,SAI
9,213.8298666452353,204.11171567492065,SAI
10,113.98055691754881,109.2619152343962,SAI
11,226.20185363337592,222.1473373973421,SAI
12,111.34136303612358,108.8748999263492,SAI
13,217.83034665467773,227.10829875324433,ALB
14,272.9078847022827,275.81290216373895,ALB
15,222.09605263248645,205.2164581099444,SAI
16,190.12560934571428,189.96199282684697,SAI
17,234.9819247153439,242.12899264840672,ALB
18,192.6888721575673,187.94408792325683,SAI
19,183.80253561151858,184.26218275947997,ALB
20,262.6583915801278,266.23420466424244,ALB
21,290.2164440482801,294.4946051560173,ALB
22,165.418644815365,148.65406599115136,SAI
23,204.41087086897122,208.25840807845728,ALB
24,271.6428623632874,275.6404816169532,ALB
25,285.78363346761796,,SAI
