Minisector,VET,STR,Fastest
0,263.3618000555664,262.14066140164203,VET
1,137.7437686230492,134.17818085779967,VET
2,269.7214565591658,266.3314360739089,VET
3,311.94790381449275,312.3684397349206,STR
4,310.69565973333334,312.26045959932037,STR
5,319.2037202603174,320.55922603636367,STR
6,324.8216189504817,327.3314236,STR
7,324.9069199038638,326.0949276753623,STR
8,207.35600454932361,193.8997658585407,VET
9,194.4208238715452,187.58916560380953,VET
10,191.60331259205512,182.9045093716967,VET
11,165.58843211615186,165.82770871710377,STR
12,255.19109230344827,252.93723673784797,VET
13,278.6398809904762,277.46183892204584,VET
14,283.1755648781441,279.10968200142884,VET
15,288.43808672429793,278.1308647407715,VET
16,184.55220620429975,180.89058949297052,VET
17,194.23409917693692,189.17619104380952,VET
18,241.23899150207626,238.16585826038866,VET
19,289.6530296146291,287.30298361546375,VET
20,313.4802518285714,312.96489933168124,VET
21,322.23280123059163,321.58454961821946,VET
22,321.2600753602531,319.69875776397515,VET
23,269.97344493597234,254.7061144584127,VET
24,116.22946276475056,113.386722953466,VET
