Minisector,HAM,PIA,Fastest
0,277.55661612133923,275.3691249689297,HAM
1,300.0185710322909,298.68489599343036,HAM
2,291.47793478647344,294.9225998053092,PIA
3,168.23876062578495,174.96704506982798,PIA
4,117.34963261845421,116.51712529926134,HAM
5,236.4184976762407,231.03754825694708,HAM
6,292.0561565187846,291.37575154349224,HAM
7,311.91975238095233,311.40253683106505,HAM
8,174.5243401996212,184.53325233895245,PIA
9,139.96828747478867,132.7188399352254,HAM
10,249.22853471650794,243.71135102609753,HAM
11,290.4120787781361,287.5789456346269,HAM
12,306.9681001220767,301.9477090875392,HAM
13,280.52593003311966,282.9140268071222,PIA
14,298.5281003804124,296.53151660773455,HAM
15,304.07807560126986,301.11325404139683,HAM
16,249.81699094305867,258.5974583233306,PIA
17,224.01121587724057,226.51600653495348,PIA
18,281.68533997821305,274.4480269867494,HAM
19,313.0936248430487,300.2863569417123,HAM
20,321.60463133658584,307.06503658016493,HAM
21,222.1014719161245,226.99133150058884,PIA
22,252.0565162094768,254.1100099828764,PIA
23,139.31712521628504,134.53687971315696,HAM
24,203.49772279318904,202.7634573906235,HAM
25,251.0,256.1166677333334,PIA
