Minisector,LEC,BOR,Fastest
0,271.92916345907054,267.8937841542562,LEC
1,286.3072355629868,287.0344276355556,BOR
2,288.4145427660131,291.90977564024604,BOR
3,129.3123342064934,133.32571965748164,BOR
4,195.57962730188032,195.98449907386396,BOR
5,256.763449813404,253.66014657923097,LEC
6,143.54035364785167,139.99204475259637,LEC
7,206.16429723339937,207.9056748608919,BOR
8,259.0864491294118,258.1654840674143,LEC
9,275.41224195003065,277.3316762772161,BOR
10,239.64388426095238,235.37428795292234,LEC
11,185.03561584670075,187.0982578143818,BOR
12,191.1719229587547,194.5774187066481,BOR
13,146.03895202362145,144.7640537532581,LEC
14,178.14399308426303,173.55982241289607,LEC
15,159.24100279794038,166.40396375891828,BOR
16,216.11896715916356,221.48235850596993,BOR
17,243.41429753866848,236.13471265904764,LEC
18,248.62907375085715,242.91244294603175,LEC
19,244.63846103951514,252.23361632307885,BOR
20,148.29511254093143,142.28678262508842,LEC
21,128.12817451291858,130.05098510578213,BOR
22,163.99062531011913,170.73318975719994,BOR
23,154.37544650803324,151.5285556084718,LEC
24,228.61514517520936,226.95636528572155,LEC
25,257.42727272727274,252.0,LEC
