Minisector,NOR,TSU,Fastest
0,249.36069129225442,249.45692882362303,TSU
1,284.1860209253333,284.7479092099048,TSU
2,158.75548451663593,182.0381457187316,TSU
3,170.0749862029426,157.76550296037672,NOR
4,257.49087904447066,256.0692460319414,NOR
5,265.4170667444976,268.2868110715509,TSU
6,235.1989538881119,233.97351907849622,NOR
7,207.5551718727104,205.20340282875688,NOR
8,163.213173869325,163.76828428171237,TSU
9,221.05940045113255,216.54303290612248,NOR
10,272.17483367915895,269.05853985229743,NOR
11,130.47539843823537,139.00932133234812,TSU
12,216.93100083065661,209.49219061534862,NOR
13,275.87538988549846,275.2204706904473,NOR
14,298.88293145333336,294.96485526007905,NOR
15,308.4552631578947,304.9730324177778,NOR
16,247.18691331200134,244.5330287260165,NOR
17,130.45736889063338,128.21945293537243,NOR
18,131.0572226082526,122.66093148110562,NOR
19,122.7413453426708,119.0480745375965,NOR
20,221.5910517934118,222.30305455010563,TSU
21,248.4787757484737,256.6207788526984,TSU
22,245.51051887542857,243.8507762728588,NOR
23,222.76179913035114,219.69432249855888,NOR
24,135.49343724937188,134.1880287761272,NOR
25,216.0888888888889,215.8750048,NOR
