Minisector,BOT,PER,Fastest
0,311.63645826666664,311.1361691155077,BOT
1,243.27978485722423,231.61163921579723,BOT
2,141.18348946158642,134.29714308705232,BOT
3,223.41246413756204,217.37926878710147,BOT
4,266.1943817139126,263.2795640607121,BOT
5,292.64808538328487,290.2388497019537,BOT
6,307.71153846153845,304.44027797333337,BOT
7,293.18711544588894,283.15854940003624,BOT
8,184.67394689658002,171.87915183333183,BOT
9,245.0239048452805,239.96828731058295,BOT
10,277.1234138459953,275.1302202201529,BOT
11,271.13292836221626,259.989616658089,BOT
12,216.4860442500322,201.15181085051196,BOT
13,135.76913579465466,131.64091250891448,BOT
14,128.01861055574614,125.22850324001118,BOT
15,173.20302021789627,170.0947143180981,BOT
16,131.05538546998554,127.56953091144106,BOT
17,235.25436605019993,229.14697823352574,BOT
18,199.75772728164145,188.71093904934773,BOT
19,172.568198467252,167.04330066248986,BOT
20,253.64307906153385,249.06379023619965,BOT
21,280.48073219165747,278.8450197340419,BOT
22,296.0602414223425,295.96972229884625,BOT
23,306.3765362730195,307.4838107362962,PER
24,310.25694435555556,312.9752778666667,PER
