Minisector,BOR,HUL,Fastest
0,290.5167583487564,298.76208661333334,HUL
1,292.04246287085715,301.9378840647037,HUL
2,155.02020257331796,148.6111467927778,BOR
3,217.33484129272355,222.93643777601434,HUL
4,268.95144253172907,280.45586180190475,HUL
5,290.4285863010035,307.73229200000003,HUL
6,295.2809036753114,319.3014717501141,HUL
7,150.48524825862012,142.21417233713026,BOR
8,140.17077992205802,128.3132540783651,BOR
9,249.76405146763977,252.8048784846561,HUL
10,282.8601358106185,293.88110460340226,HUL
11,287.4354018119474,304.94914295529406,HUL
12,141.33925902837902,139.46454702246692,BOR
13,192.53167438743353,193.32500142671938,HUL
14,254.91015000466268,255.56687525164023,HUL
15,203.16503645737373,199.08541641997547,BOR
16,222.31011289087434,215.894589395671,BOR
17,214.25261276244348,204.81184540054122,BOR
18,244.218357316083,239.13127369580246,BOR
19,276.968493765614,275.58006004888887,BOR
20,288.8055531461438,290.3820793652288,HUL
21,255.80019992061614,249.66211440104576,BOR
22,221.32899389438234,216.0408756291209,BOR
23,199.12912148457144,202.62173141185187,HUL
24,264.41380498082543,263.11216958832665,BOR
