Minisector,LEC,GAS,Fastest
0,276.26880063635303,269.77554606065047,LEC
1,295.21686850030454,287.4726323610251,LEC
2,301.31587190075606,293.8637782200206,LEC
3,126.92165825186075,128.82989106732862,GAS
4,200.40714648398918,201.03552597321243,GAS
5,259.87790198986494,259.44047269423663,LEC
6,139.056372207406,142.51607138458715,GAS
7,208.72817060703466,208.07780132378474,LEC
8,261.9954518207464,260.0709896128302,LEC
9,284.09958335636543,282.12226880000003,LEC
10,241.07137060474219,229.38778881337572,LEC
11,178.92758966075857,170.29392633573485,LEC
12,194.99676032845923,197.27552727338093,GAS
13,145.13977970135278,141.94422842210062,LEC
14,177.51090074354735,176.46489518232465,LEC
15,162.10995599693925,160.44019245564445,LEC
16,220.54061993312177,223.5290817929405,GAS
17,235.93268702058282,226.64572882982725,LEC
18,244.8335460808123,236.5765400484992,LEC
19,239.51776410598228,226.551474685675,LEC
20,146.13685938978742,151.24542895856524,GAS
21,133.72555286620965,130.71251284339192,LEC
22,171.52014926712,173.6226382201174,GAS
23,149.67204534671842,152.72025034659296,GAS
24,234.26003353532292,233.99647812055187,LEC
