Minisector,ALO,RUS,Fastest
0,266.1545639836735,270.58450916492916,RUS
1,284.8035985138903,290.07796853602423,RUS
2,291.98910776395593,295.15357124010023,RUS
3,129.0450418046257,123.52079298061538,ALO
4,188.61092843515297,194.46888737042445,RUS
5,251.90211168282383,252.07499671869132,RUS
6,145.2798839931371,136.30369493827328,ALO
7,202.74008095107462,201.19782561379628,ALO
8,253.13227130372405,257.358560522449,RUS
9,275.5940859152443,276.1026914792344,RUS
10,240.65217409855074,229.17343527569219,ALO
11,184.91567767298937,168.51810397404233,ALO
12,189.84817267163686,190.08402490888545,RUS
13,153.83391759895727,139.74190322656386,ALO
14,179.38286367095753,179.57916636444446,RUS
15,168.34334761085984,160.97597430653053,ALO
16,219.41931211004174,217.11966685866668,ALO
17,237.94583295072465,227.9549203950829,ALO
18,237.6881808045407,234.81666671304347,ALO
19,239.9113226373431,223.4148927757503,ALO
20,144.8385235246114,143.764979736886,ALO
21,137.20003115294153,129.2654925737596,ALO
22,170.3135075974828,171.7964648859194,RUS
23,154.28620971428572,147.96301441362044,ALO
24,224.37727464491815,231.95422057419626,RUS
25,251.4500032,,ALO
