Minisector,PIA,PER,Fastest
0,289.38222248296296,299.325500916934,PER
1,296.52481834713444,307.54608637291005,PER
2,167.51651496320832,159.44595715974722,PIA
3,221.87008159815628,216.95819240911976,PIA
4,270.53243821883194,276.55997745357575,PER
5,292.8957123413333,303.75707398327586,PER
6,297.5039356444444,312.95347243636365,PER
7,174.9564614908121,150.64307257622224,PIA
8,124.4025971723034,123.56758163057607,PIA
9,250.1613565511111,252.13819983102798,PER
10,288.68512991525733,296.75253752142856,PER
11,300.6843866495548,311.16060571631743,PER
12,146.20685438203333,131.98364874539814,PIA
13,193.0973128752171,186.0629851753394,PIA
14,254.26812698324883,249.0671318110476,PIA
15,200.57119039459573,195.03792931272812,PIA
16,216.9397613277091,208.9577622663609,PIA
17,214.95714614760686,206.33040330401465,PIA
18,243.70749363580953,242.0316661587318,PIA
19,279.10839557078054,277.76743278814814,PIA
20,296.3451781746939,291.28186271372545,PIA
21,264.41037382858417,256.4058289248887,PIA
22,226.34527375447993,214.54619949272316,PIA
23,203.92102048979592,201.62867589702682,PIA
24,263.2673698976312,260.7251612639599,PIA
