Minisector,VET,TSU,Fastest
0,237.36518489244176,245.72491696294267,TSU
1,269.5606320022586,276.5162979265203,TSU
2,169.8812591192619,166.5581505037794,VET
3,151.1508604199885,152.96471264573876,TSU
4,256.8154580843867,256.04534754812335,VET
5,259.8366291166532,254.18326427301588,VET
6,212.5772856879746,202.8163014624257,VET
7,191.56380618856056,191.28472481558398,VET
8,151.54458625413307,149.16965260768345,VET
9,206.59775088113847,205.0736909551961,VET
10,269.70650298110263,268.3812473995307,VET
11,125.63373505907005,118.62957272023577,VET
12,207.608768225926,212.1831454648889,TSU
13,266.538121216261,275.99523775661373,TSU
14,286.0586765867113,305.7028162679948,TSU
15,295.86497493734333,320.3598054968889,TSU
16,244.04122967335283,242.46393108571428,VET
17,132.3845387961784,123.44313655915882,VET
18,131.74149646423325,128.01564276030493,VET
19,119.79301604747106,122.88285056667677,TSU
20,221.93468819766898,224.99958961427848,TSU
21,253.42387304198,248.68680403618302,VET
22,230.88439959466666,220.25678837522904,VET
23,207.58708180308537,202.67303219336222,VET
24,130.653400035688,134.6146840424601,TSU
25,211.00555946666668,,VET
