Minisector,LEC,BOT,Fastest
0,253.509775230839,240.01180866951745,LEC
1,127.33210823280463,124.19664047445886,LEC
2,194.88105945566136,196.90356650136795,BOT
3,243.89138290910952,240.76205428571427,LEC
4,257.46257308968063,250.52888763259259,LEC
5,171.99572156444444,170.01315526656342,LEC
6,144.468377476,141.2372479808999,LEC
7,182.08058867395152,180.8085578915065,LEC
8,99.38244807466447,105.94470458984325,BOT
9,71.48650776104668,75.56151932898975,BOT
10,93.8092624013288,90.40759494335839,LEC
11,182.99391959798868,179.78376213333334,LEC
12,244.06029405367966,241.46863397194028,LEC
13,266.8342226713388,264.719845945679,LEC
14,278.23669214325884,272.31499944,LEC
15,102.8691326141827,115.97464967290539,BOT
16,146.62265640851757,143.21717537612466,LEC
17,175.09310416050795,178.87287981714286,BOT
18,195.7527975942952,190.0003977515437,LEC
19,209.04938896855086,211.48132265411763,BOT
20,133.5232662825808,131.54432143805434,LEC
21,105.82251403185546,122.49563814777028,BOT
22,97.1732601384335,88.6142114683871,LEC
23,195.80631389629627,182.9980770227958,LEC
24,250.04912409449364,243.21877266531988,LEC
25,,260.4079372190476,BOT
