Minisector,ALO,PIA,Fastest
0,268.8880529741497,259.80806613946874,ALO
1,134.90745638722973,131.812065285739,ALO
2,194.4936299845695,200.65713781604276,PIA
3,244.33248270534799,245.96894031238094,PIA
4,259.69479077528746,257.36745944533334,ALO
5,178.80554473870825,173.0870140533669,ALO
6,147.74691929816797,143.39129671013433,ALO
7,178.83154474065958,182.57352601147156,PIA
8,98.6298882333448,96.1693457642469,ALO
9,74.60279587870582,69.32740229531561,ALO
10,89.91537950316759,92.32704556360295,PIA
11,174.844750974683,183.3694457875664,PIA
12,242.48221240334777,246.86476189490193,PIA
13,266.4530619820408,270.11581899831936,PIA
14,276.59847626779316,268.8226267405128,ALO
15,117.07487753267672,101.88899939634095,ALO
16,145.02427779446342,151.87429616305369,PIA
17,180.49478121142857,175.3308104782548,ALO
18,196.89294009481483,196.05942995153825,ALO
19,218.33466942201431,198.71478831625976,ALO
20,134.24842773705927,133.91781254357394,ALO
21,108.99966608809987,102.96152080673882,ALO
22,93.67173636662358,93.52705139522081,ALO
23,196.27677742010357,197.8205336007213,PIA
24,249.01159464313528,251.43338201098038,PIA
25,263.3812464,,ALO
