Minisector,ALO,LEC,Fastest
0,279.4012531496013,282.25726526295364,LEC
1,129.3110914281704,124.05767512746156,ALO
2,154.3418028358773,158.7479692728452,LEC
3,206.75067296256532,218.8958106813187,LEC
4,165.9950696784849,158.69860874752928,ALO
5,242.73875995787117,239.03265722597405,ALO
6,220.04709686176048,213.68014990180845,ALO
7,132.7959509094466,134.83269284547768,LEC
8,232.71748408380952,230.90937814764015,ALO
9,274.97063267506724,274.26386554452796,ALO
10,284.5215125252149,280.4600762085137,ALO
11,150.9588441407898,146.54198954754648,ALO
12,216.40438204225148,213.1750980682473,ALO
13,266.66661298023496,266.90781749841267,LEC
14,264.100819441552,268.7034280747475,LEC
15,101.24368694741702,96.52282039363064,ALO
16,213.42090535996994,219.16848586155285,LEC
17,269.18329043666273,270.679942472671,LEC
18,289.7771648194211,290.6256022408964,LEC
19,300.4487514969705,302.03349678580764,LEC
20,304.1656862745098,308.48518643608685,LEC
21,284.3120300203654,287.1467857015873,LEC
22,151.45840586080237,153.7775117177216,LEC
23,232.45398366766744,230.03844749913043,ALO
24,275.4656510430461,274.30097219812416,ALO
25,,287.57660317297325,LEC
