Minisector,VET,GAS,Fastest
0,293.13266808291314,291.2733530997486,VET
1,291.089841,291.3687514,GAS
2,160.7366017311014,155.43733067254672,VET
3,228.8946813422748,228.98408373116027,GAS
4,279.0420357873408,282.6272381632078,GAS
5,298.0433857920888,306.3476893318778,GAS
6,300.2122220901587,316.1035476627405,GAS
7,150.16491350677214,143.2952483294318,VET
8,149.23884907119552,143.81635411674176,VET
9,256.9792532232225,252.5001406708971,VET
10,289.5372502664214,282.7675841254168,VET
11,296.8205600824849,288.0756609821342,VET
12,143.36987468861622,141.90746374612237,VET
13,210.85597954782608,203.22628832083902,VET
14,263.13362121139954,251.65644623423674,VET
15,201.4363040277124,197.08527218587108,VET
16,230.825080408055,224.44228394943715,VET
17,213.3103786843018,213.6295848111088,GAS
18,250.39273411672275,248.0913882596297,VET
19,279.08752382546066,277.45284630210466,VET
20,294.70278362592757,293.0960565428571,VET
21,257.8117448291518,251.4564647957609,VET
22,224.77196682406816,219.2133542359553,VET
23,215.93297898963382,210.83840404170041,VET
24,270.98669404547314,265.71658360088713,VET
25,285.97014864543013,,VET
