Minisector,ANT,HAM,Fastest
0,303.40013156432144,297.9386930897697,ANT
1,200.73280605710588,191.11028546739345,ANT
2,211.9803595813691,221.35117552346784,HAM
3,273.84743681940415,276.54771287894675,HAM
4,247.5720305346351,228.00285499107898,ANT
5,125.27770809862604,126.62340176389299,HAM
6,199.79885257711655,203.6049084175129,HAM
7,231.9612955716336,241.6376527076363,HAM
8,216.00567024063295,227.90083233166902,HAM
9,222.66496271157175,216.3135001891689,ANT
10,270.9632211274643,273.69590351357374,HAM
11,290.872402697984,291.3086838005538,HAM
12,304.9083959899749,304.20523368565824,ANT
13,321.0353279235396,318.0813993892478,ANT
14,328.54428575193276,319.83955638352694,ANT
15,223.774064262657,249.99458070559004,HAM
16,229.18534740076677,229.53995864925983,HAM
17,280.52925806887873,283.279505877059,HAM
18,303.5206765142703,297.5665487060795,ANT
19,142.54614688756413,143.91480620939709,HAM
20,190.85714113891026,201.11134791246957,HAM
21,190.94376727401223,159.81641414301706,ANT
22,133.12905487131036,137.60888274568492,HAM
23,231.60654497948914,245.52855392803832,HAM
24,294.3894883126207,299.12739940341015,HAM
