Minisector,VET,RIC,Fastest
0,258.3620213424225,257.47707560843605,VET
1,224.00591566451615,222.5118689231363,VET
2,143.12053329619067,147.83430005841618,RIC
3,240.79323892789117,241.0286661577655,RIC
4,270.05471066174704,269.91668867562663,VET
5,181.84850924684685,178.30230835105291,VET
6,98.38480412894181,98.20822399407898,VET
7,133.45112823479107,134.47897963844008,RIC
8,247.86990255824654,244.37915130968491,VET
9,169.21052359859297,160.54314796065597,VET
10,181.76800072099422,185.38325262222222,RIC
11,252.09341684627762,252.7345558990854,RIC
12,235.55208342857142,232.20273029885058,VET
13,256.3821808924276,245.63463275642658,VET
14,278.92789815652174,274.94913137777775,VET
15,275.49950237866665,266.2148346453333,VET
16,138.9142322962225,137.20112415938672,VET
17,233.4971306694828,232.59366968395344,VET
18,277.15344139130434,275.3701035981663,VET
19,286.3624999884058,286.0130836026816,VET
20,289.20961798222226,291.42362771925553,RIC
21,294.04242424242426,296.8223084256729,RIC
22,150.2025963996681,134.55002279745727,VET
23,81.45244819756738,82.1714655001743,RIC
24,165.34307497895534,164.55527723834044,VET
25,240.7874976,,VET
