Minisector,ANT,HAM,Fastest
0,320.17039247686273,315.50515737560215,ANT
1,323.9419358127242,312.480654552381,ANT
2,161.66640293208158,161.48925252187323,ANT
3,159.3477954855914,160.88494058514286,HAM
4,194.22609011343448,197.5767053848456,HAM
5,149.63467008977483,149.04276105664482,ANT
6,206.2544232442081,204.23556653893328,ANT
7,272.2895687169925,275.69003931396605,HAM
8,289.70368407578945,290.05055549155554,HAM
9,278.7137072643386,282.17710584805155,HAM
10,237.6182143674459,245.56514713263158,HAM
11,247.2904793457733,243.0980661425655,ANT
12,225.8861210427211,223.86380942682513,ANT
13,185.74964730166656,175.34342980652787,ANT
14,138.70634719798144,139.91327878473425,HAM
15,133.41608617363485,131.62199874554787,ANT
16,197.29916379171726,193.77685130564657,ANT
17,269.4371289502786,264.8493018969915,ANT
18,198.93589049263156,200.03642401764452,HAM
19,110.09296360173407,113.69206576100157,HAM
20,206.67161573714284,206.1917577145316,ANT
21,183.42452413714287,186.89027829809845,HAM
22,245.73947459368424,245.04730585679013,ANT
23,278.96621904792937,276.2314629111834,ANT
24,310.16656978225956,302.0784534331671,ANT
25,323.76500096,314.1250005333333,ANT
