Minisector,HAM,TSU,Fastest
0,300.08032960525435,307.03916675199997,TSU
1,228.93905938285712,230.96279837252524,TSU
2,130.15851961184296,128.95103174028404,HAM
3,219.78104625632653,216.4566400585231,HAM
4,261.8639719230139,260.88276043281536,HAM
5,284.22307650038493,286.5747027570344,TSU
6,295.7461344578151,299.08871208311683,TSU
7,267.98731875780874,274.68601471525926,TSU
8,170.28721637096328,163.29262127813357,HAM
9,235.82019453850467,236.29263707827664,TSU
10,271.76680144179204,270.89663631327977,HAM
11,237.44253175940182,259.2072792645614,TSU
12,197.77195259981633,209.38264321454545,TSU
13,119.48363672126983,130.36735539999833,TSU
14,124.55561317304546,121.04572212539642,HAM
15,152.29990351286665,157.27638800169314,TSU
16,129.29814745895305,120.37856914571421,HAM
17,227.58903208403808,225.34618719932593,HAM
18,172.80919071408593,175.05734704064164,TSU
19,155.99770251897948,156.94779484132297,TSU
20,245.89181494233765,241.81490162996823,HAM
21,270.58703473306946,269.5985124552381,HAM
22,287.1085622247619,286.96581701926493,HAM
23,295.34592325019605,295.91578544410254,TSU
24,298.8096405333333,301.05839126074073,TSU
25,,303.0,TSU
