Minisector,PER,ALO,Fastest
0,320.94986983238687,318.83279565343884,PER
1,329.75214862079173,329.09509175071014,PER
2,326.4935070336508,331.86310722742854,ALO
3,200.50354819839953,183.5980993425759,PER
4,111.32743790983294,106.79660123193962,PER
5,262.820875086011,263.2609557148361,ALO
6,299.95568001567943,299.32659853494766,PER
7,317.1204462072596,314.80742627361343,PER
8,266.6742480988523,269.37062123698473,ALO
9,138.2991544347473,135.94732568440827,PER
10,214.34240190483342,213.12334013793102,PER
11,204.32048704487622,201.18281175237942,PER
12,189.55336421541858,184.56185442223486,PER
13,264.9755654184127,265.9355594109091,ALO
14,300.90005143947894,301.60488857790324,ALO
15,316.10194527982685,315.4015418219302,PER
16,257.50718529400933,251.76720062984128,PER
17,204.33319377597545,204.38043583022912,ALO
18,271.9007567329041,271.12358186949746,PER
19,306.97059766795576,305.5510015381396,PER
20,322.4752896442931,320.31089996973463,PER
21,309.30903438776335,300.4964624494087,PER
22,204.04591545804013,198.02118087974603,PER
23,260.51368481269844,259.3195331390476,PER
24,300.83561568312825,299.8656433424321,PER
25,312.9428571428572,,PER
