Minisector,VER,HUL,Fastest
0,298.85274971225397,312.2021973267034,HUL
1,135.20487962178925,142.1566376529995,HUL
2,212.79285822315947,210.41973281333796,VER
3,279.8266848183878,272.1125388876951,VER
4,319.9129483579494,310.4415051435585,VER
5,315.87517436121215,313.1250596417849,VER
6,145.60912568262364,146.99441725897748,HUL
7,240.87030987701425,244.99655880769046,HUL
8,112.17197675184865,119.88853903852055,HUL
9,154.8249762851282,137.80234605820198,VER
10,274.62601324444444,266.65003356086135,VER
11,298.4454001108067,296.7846063390476,VER
12,251.39070118252874,269.16888744902,HUL
13,154.7816658445501,147.07929873687746,VER
14,272.10538864242915,269.2256035768255,VER
15,308.4740463737198,303.5180284639813,VER
16,323.2121877029787,320.30749520647504,VER
17,334.89565239033817,327.7897510925519,VER
18,344.187860009697,333.8889666213152,VER
19,349.18564341778034,332.72238883908904,VER
20,223.03961010372788,242.0878059554762,HUL
21,146.89436647205562,146.77656649773238,VER
22,273.17824968023086,269.48922437708984,VER
23,310.90158773115644,307.8881448444444,VER
24,325.88246929626723,322.8000803690269,VER
25,324.6583338666667,321.97343739999997,VER
