Minisector,ANT,LAW,Fastest
0,309.41602025396827,289.0769258989051,ANT
1,160.39678572239492,160.62502477307493,LAW
2,153.0390170635358,164.99528355178683,LAW
3,237.14775486224485,228.89994677951276,ANT
4,290.6510734172135,287.49196935571473,ANT
5,283.3620522888808,285.0909688358878,LAW
6,145.71010102713956,145.7538484395694,LAW
7,152.18749860827216,141.38612126680403,ANT
8,137.59636338959905,134.55396307110993,ANT
9,199.1647418084764,187.3480991090141,ANT
10,126.29951629669648,140.99334307834272,LAW
11,126.7899132641638,128.21787898094357,LAW
12,172.10723630756968,172.75998665105334,LAW
13,271.05879799180434,269.82033505664185,ANT
14,296.61144386253534,293.5446619445271,ANT
15,144.80223101355196,152.37922089488472,LAW
16,208.72405108718277,205.0399790817893,ANT
17,176.512212215522,176.73392122672766,LAW
18,271.97601164765734,272.0597385968013,LAW
19,297.4444284901194,294.9338487006781,ANT
20,311.67786130856655,310.10974175703956,ANT
21,321.55629748338083,317.19566742254887,ANT
22,326.1721522336258,321.8080570772386,ANT
23,330.0993252286967,321.3335865348978,ANT
24,329.56747878341014,310.20681732373293,ANT
25,,309.0,LAW
