Minisector,VET,GAS,Fastest
0,300.27546135064307,298.6203483140474,VET
1,254.6740376773371,247.81222808616914,VET
2,213.63091372389846,201.1091049294269,VET
3,272.72938304415584,268.130885230722,VET
4,246.77219064184294,228.23640404574792,VET
5,121.91853941452459,116.9055595355409,VET
6,188.0128911307518,185.94455178471185,VET
7,260.74422640473205,259.2498714423401,VET
8,288.6461974167947,285.6060099335749,VET
9,301.7918799689683,299.149120994124,VET
10,307.16111126349205,305.47162681904763,VET
11,228.41441996238547,223.44851528093676,VET
12,146.20650805309447,149.41132725447395,GAS
13,261.17363725839317,261.1854388906212,GAS
14,291.9725430603268,290.7054974614684,VET
15,302.4985352405078,299.5095608324145,VET
16,299.31414397097507,297.4615259082251,VET
17,278.1530876128968,253.4803145601364,VET
18,199.10078491287283,185.95286487006268,VET
19,195.69187496983275,182.97146463161857,VET
20,195.44503465582292,192.46270016752618,VET
21,255.39236841390945,244.70584132945598,VET
22,131.83440747148066,123.90897729190952,VET
23,204.3513313700896,213.16499818820998,GAS
24,280.79298508351513,278.47655760712564,VET
