Minisector,RAI,NOR,Fastest
0,269.897566555486,272.86776714438355,NOR
1,287.7925158229114,292.0264387365086,NOR
2,295.84394463433813,300.33496243775477,NOR
3,130.6725740702939,127.91572275231522,RAI
4,190.77792886949612,192.04383046283908,NOR
5,257.27513911300633,259.7367348714276,NOR
6,138.77739764306727,139.06017263750454,NOR
7,207.58388443748555,206.57701402551882,RAI
8,260.28131570173457,261.2729010074404,NOR
9,280.6376905715808,283.1270459280107,NOR
10,241.92336897421214,234.5600136866283,RAI
11,185.29075721125645,179.0355955052337,RAI
12,187.6366797029751,190.92447943752214,NOR
13,148.1753164560321,141.43664657067717,RAI
14,174.84359218150772,169.5823820527258,RAI
15,159.69984114542538,155.94006549550448,RAI
16,213.9715612853655,218.41536453207928,NOR
17,237.24730700846263,236.68956906696275,RAI
18,235.2697313421051,240.75965020812868,NOR
19,251.15714260573623,240.8959917023548,RAI
20,142.60691371738778,142.6672162804784,NOR
21,136.7563862702903,132.37206992718018,RAI
22,165.87231136638584,170.4286948891842,NOR
23,152.6258535380157,148.1723399495407,RAI
24,229.42973824914068,232.53196882359373,NOR
