Minisector,NOR,VER,Fastest
0,269.5695435110586,273.5441670139669,VER
1,244.6706820853359,232.82587194633876,NOR
2,110.65441320491455,110.95957500519035,VER
3,175.65237723214287,174.6726688974545,NOR
4,178.53560793814816,177.29308543804515,NOR
5,208.54007777777778,212.64578952727274,VER
6,265.76987485551535,269.0240453675036,VER
7,283.0031216931217,288.3544046628571,VER
8,179.70925290338474,186.5710220419545,VER
9,132.43808583545118,126.43318595305126,NOR
10,125.96333100325968,128.32608342655797,VER
11,175.87980736402596,169.17811052878648,NOR
12,224.90245734223515,221.51268303765568,NOR
13,126.24142657531323,129.2524236401476,VER
14,139.74480794644606,156.55058190164502,VER
15,125.50440960392841,112.0262629412409,NOR
16,247.50687138637545,246.4757023652904,NOR
17,140.57056822695873,145.49736422451178,VER
18,194.0694019375796,174.72869245880636,NOR
19,122.1083377125035,127.3614655567813,VER
20,127.93715552704184,132.1111881496133,VER
21,118.39980654695718,113.69430871527119,NOR
22,137.59142682479487,132.35614646764256,NOR
23,206.3254023504193,215.1095574238053,VER
24,231.18044001944014,224.1332579507125,NOR
25,,258.4876204673758,VER
