Minisector,PER,LEC,Fastest
0,297.9229166222222,308.0475050287035,LEC
1,273.36390631714517,290.5237316637681,LEC
2,173.60312965028606,169.0604219252895,PER
3,204.79595248463238,197.64963203137253,PER
4,221.26665567544447,219.9937825222742,PER
5,265.38386176313844,267.92333354666664,LEC
6,224.03244224794815,231.8904568567742,LEC
7,215.24745787785506,203.97083353333335,PER
8,166.72984512454957,165.94992920888888,PER
9,177.08008950687832,172.87094896782756,PER
10,188.5304245695144,174.31375459739797,PER
11,211.82073852039235,203.6283996280156,PER
12,242.27791677167434,242.80745568066175,LEC
13,171.96718999802118,167.40323787595818,PER
14,245.68749842962964,247.00587853746984,LEC
15,272.08866646552383,278.99733438012424,LEC
16,267.5616989948718,276.73685173710214,LEC
17,261.3399562904067,268.9273333333333,LEC
18,246.21381419369493,254.08799759436545,LEC
19,248.97544685714288,246.1724440002704,PER
20,261.1768759392744,209.5767135561256,PER
21,193.71278608243665,168.57407457971243,PER
22,225.8269415780938,242.5674630195695,LEC
23,273.6608325973333,283.9125000811594,LEC
24,290.0659487130247,300.12394973221285,LEC
25,294.83749973333335,,PER
