Minisector,PER,SAI,Fastest
0,289.5539568664953,296.4718882753102,SAI
1,297.9581348368254,304.62648807619047,SAI
2,302.2332421853109,307.03216811505195,SAI
3,303.295312647619,295.5224356923077,PER
4,200.4455977928109,190.42575594507687,PER
5,101.5643731168753,98.77954962249358,PER
6,203.3904619950357,210.168254984127,SAI
7,255.22438495002226,259.11283832403547,SAI
8,279.7882814,280.559896,SAI
9,287.21889062603174,281.2461095822222,PER
10,153.3325166941004,143.9605639493778,PER
11,172.69594438446137,181.3707673422045,SAI
12,242.59756753983842,242.73492117671958,SAI
13,236.26018471111112,233.83621426365914,PER
14,154.0106942408528,146.24016358919474,PER
15,218.3720715355434,211.60392468169985,PER
16,261.52708378095235,262.3791260319039,SAI
17,281.2686844309294,282.6199208330159,SAI
18,292.0681429648743,293.33850699651424,SAI
19,294.9050001066667,299.7329508789116,SAI
20,280.8477772088889,281.1135752379851,SAI
21,154.92553949504662,146.8157816789546,PER
22,208.9902780952381,213.82573821678002,SAI
23,257.46789388649677,261.10662393718894,SAI
24,280.53102670476187,282.98920655238095,SAI
