Minisector,HUL,VER,Fastest
0,318.8785716825397,332.64282742095236,VER
1,324.9902777481482,337.8900462814815,VER
2,318.7718072322233,339.09999999999997,VER
3,175.06022882265123,165.13425962027543,HUL
4,137.01320239407409,135.53281744253968,HUL
5,268.5664802029471,268.13019328003185,HUL
6,299.094444647619,300.3309523809524,VER
7,305.87145840000005,307.7215734610936,VER
8,262.3879985432381,256.7234375,HUL
9,157.25865433456346,152.54419081948745,HUL
10,215.86830319999999,221.2195533202143,VER
11,229.0187464678648,230.98203175724353,VER
12,206.39485752303938,200.2885410712302,HUL
13,273.50359265783754,275.2701344132505,VER
14,304.29101493696146,308.4789792074317,VER
15,311.05119050158726,319.8962500266667,VER
16,254.60299977142859,252.4773311936508,HUL
17,214.08910907979413,217.15659113354363,VER
18,276.7394931478261,278.6846583034574,VER
19,307.47779817912533,310.0359861199641,VER
20,320.3579364910053,323.4682016481203,VER
21,300.5751169538221,298.60492421818185,HUL
22,210.99730335961866,219.89607144400867,VER
23,267.2512479885486,273.4086358758328,VER
24,302.5771476405797,307.36150199859355,VER
