Minisector,NOR,STR,Fastest
0,296.0907203552655,287.676326624462,NOR
1,302.8024150974387,289.9052789683185,NOR
2,150.91271980130153,166.58317829111544,STR
3,221.03627418548953,220.24834233101146,NOR
4,278.5010917121195,270.815873015873,NOR
5,303.2960168205128,292.3165501412987,NOR
6,316.3901255927438,300.28888359515537,NOR
7,161.5524249513525,197.40592631773455,STR
8,127.61890542730572,122.9217382588239,NOR
9,250.681250840859,245.23546382851202,NOR
10,292.1911960711111,280.01352115532035,NOR
11,307.77633907886667,289.01596635518206,NOR
12,143.2041850130657,155.71804203164248,STR
13,188.2321623509435,188.6569414906996,STR
14,255.8284328056003,253.74640599064043,NOR
15,198.72107680048643,215.0338649413317,STR
16,212.600903829842,213.87541479604488,STR
17,209.40283165897148,215.12055110095238,STR
18,243.09334887822223,238.2624585921325,NOR
19,277.7404170074074,274.4486383493698,NOR
20,293.45226915495795,291.1910183940741,NOR
21,264.3641535554145,267.60425204425206,STR
22,221.98069094488835,229.93362093144606,STR
23,196.14862242112667,197.3235478125714,STR
24,263.7186105765935,258.38300427858474,NOR
25,285.98000128,278.87000064,NOR
