Minisector,OCO,GAS,Fastest
0,317.55666613333335,310.35097348822455,OCO
1,329.25019495416444,318.40931356862745,OCO
2,335.0196759703704,324.0630685073223,OCO
3,222.14407216410257,218.6972992872975,OCO
4,224.550350288276,222.47053472349603,OCO
5,113.11858225613925,112.2375878291609,OCO
6,212.3617548952381,212.2767643426565,OCO
7,264.3948406349206,269.35023201656315,GAS
8,224.92466998921378,243.80310985820284,GAS
9,115.74138267354448,112.75327406903287,OCO
10,232.26583244190476,233.3931294081949,GAS
11,243.49891334492753,249.25996396521737,GAS
12,135.12698883809523,135.4472326605786,GAS
13,210.85333892563827,209.80169122834437,OCO
14,266.1826294372294,271.5458163745074,GAS
15,219.88905340613758,227.97062918681317,GAS
16,156.8003459259259,152.09147625867658,OCO
17,234.78990262046298,241.6736104888889,GAS
18,123.43654949487727,126.82738478116617,GAS
19,144.99177115047618,142.8295632313686,OCO
20,189.14095711031385,182.04386586690063,OCO
21,254.52800140455486,256.7284006028381,GAS
22,273.3254972140888,275.24389865904766,GAS
23,282.20456335238094,281.0896540371882,OCO
24,292.08832177052153,289.22269034074463,OCO
25,,293.74999954285715,GAS
