Minisector,RUS,LIN,Fastest
0,278.0862911631221,286.6610577086734,LIN
1,292.2957573947805,298.07635535792207,LIN
2,275.82296282909095,277.7716888306138,LIN
3,162.63376448296003,172.81781342265634,LIN
4,112.5096786649018,116.63849517535972,LIN
5,243.94814520817772,238.41141148169817,RUS
6,293.6654562574634,284.04359708676327,RUS
7,296.57479907214724,289.32007487639805,RUS
8,170.05325292925752,171.86386562442942,LIN
9,133.64231490002177,134.4913986360381,LIN
10,254.50193493501223,253.75374130289134,RUS
11,292.939840296353,289.62717368311684,RUS
12,293.25016321091465,291.1392145522578,RUS
13,276.58599506981363,263.74891250356825,RUS
14,290.23741319947874,280.1648645524595,RUS
15,282.67618699364516,270.1584671124402,RUS
16,240.00442614627303,232.39390525934863,RUS
17,222.80438661762406,217.9160131188148,RUS
18,282.7943443650794,280.94553310644886,RUS
19,304.66994704448587,301.4403959210025,RUS
20,301.59751619530823,303.38391116718026,LIN
21,235.33978933634074,218.5438341634675,RUS
22,232.3608654157295,242.9376172551535,LIN
23,134.9017540194843,133.0263929956368,RUS
24,206.78241279284774,213.85661400372294,LIN
25,259.5750016,,RUS
