Minisector,PER,RUS,Fastest
0,232.04827502601452,229.93063277879497,PER
1,281.72839462716047,282.36842994871796,RUS
2,296.4624494365609,296.7380987732802,RUS
3,303.2883282020704,304.98106065454544,RUS
4,267.9776315269704,260.7459191566582,PER
5,165.78581864624633,160.0087392374616,PER
6,261.25928103844797,260.2503814671087,PER
7,277.5118947559242,273.81760199459984,PER
8,206.94231145524097,209.035846109501,RUS
9,211.9439308735003,214.99583357788794,RUS
10,169.57189965891473,172.69270690666667,RUS
11,224.05277750789506,215.72917317675254,PER
12,192.82506096705131,196.5278627179999,RUS
13,199.66316042625485,202.22767751260503,RUS
14,207.97651934603053,209.1586915703746,RUS
15,172.44997067829215,171.11549184009115,PER
16,246.60100498390807,241.35727311607994,PER
17,283.8737483798868,283.60416705641023,PER
18,298.87845838561464,297.32687678422985,PER
19,285.41750156800003,288.61857551111115,RUS
20,130.5291551988517,128.4796252037765,PER
21,161.7739596231715,154.43125353096764,PER
22,148.74484629683374,138.0406729825524,PER
23,205.49976959999998,205.54782977352355,RUS
24,146.74284889174302,137.61943246145162,PER
25,180.5,175.0,PER
