Minisector,RUS,LAW,Fastest
0,278.0862911631221,285.03366304839744,LAW
1,292.2957573947805,299.93296402739776,LAW
2,275.82296282909095,280.31443291812326,LAW
3,162.63376448296003,162.14861779929825,RUS
4,112.5096786649018,114.18707103307032,LAW
5,243.94814520817772,240.60669807545864,RUS
6,293.6654562574634,287.40920252554866,RUS
7,296.57479907214724,293.72225545016,RUS
8,170.05325292925752,168.8244516537442,RUS
9,133.64231490002177,137.81394304430424,LAW
10,254.50193493501223,251.91457253836373,RUS
11,292.939840296353,287.31641348444447,RUS
12,293.25016321091465,290.39565765140503,RUS
13,276.58599506981363,263.0109178605423,RUS
14,290.23741319947874,281.3428252607624,RUS
15,282.67618699364516,277.5040264751211,RUS
16,240.00442614627303,239.1012343206597,RUS
17,222.80438661762406,213.40469280440513,RUS
18,282.7943443650794,280.35446846687273,RUS
19,304.66994704448587,299.8025509877551,RUS
20,301.59751619530823,298.92092982724637,RUS
21,235.33978933634074,216.6008607595171,RUS
22,232.3608654157295,244.05786017611115,LAW
23,134.9017540194843,130.76652254693505,RUS
24,206.78241279284774,206.0222463265801,RUS
25,259.5750016,259.2333354666667,RUS
