Minisector,LEC,ALO,Fastest
0,302.6308503715547,297.05251435503084,LEC
1,160.2536069379791,160.11217731512755,LEC
2,160.97845853316144,153.15567752307572,LEC
3,203.42355735187573,220.69637258291158,ALO
4,278.438224742029,282.26829732173917,ALO
5,293.28996174545455,289.26913013333336,LEC
6,149.879896421475,145.63281224086762,LEC
7,140.62839117976864,136.92277575192043,LEC
8,165.41555237508416,143.67488752437404,LEC
9,154.17114345381364,179.3945577185185,ALO
10,138.05603514266005,132.8151744561412,LEC
11,130.87201026842172,123.89740688202548,LEC
12,144.75179006354918,162.11037713849728,ALO
13,254.99428399037888,260.5255420127336,ALO
14,282.35208346666667,281.93612818550724,LEC
15,153.80060898861788,151.22291142945735,LEC
16,205.43406264778557,209.1152096536471,ALO
17,156.17956662315024,162.58277608849184,ALO
18,256.86111952457145,261.5236992834393,ALO
19,282.03796005541125,284.4843421976654,ALO
20,291.9430399030303,296.6414682412698,ALO
21,301.62784096969693,304.20218245079366,ALO
22,306.8799603301587,309.6618788671607,ALO
23,310.62083333333334,312.3494048609524,ALO
24,308.23920450909094,309.4665807651626,ALO
25,307.0,310.9583331555556,ALO
