Minisector,BOT,ALB,Fastest
0,288.81907527249746,284.9950961342404,BOT
1,297.77242082696966,291.58442986666665,BOT
2,303.00187977944864,294.23289465263156,BOT
3,305.9050438736842,289.755120152381,BOT
4,193.10295893333333,174.52373801558443,BOT
5,228.04475326105353,207.6349325792256,BOT
6,257.22833397398784,226.47645189485712,BOT
7,274.581547784127,260.5751300350901,BOT
8,269.2139840710834,252.4770968712215,BOT
9,178.0517493904762,164.11435885585743,BOT
10,236.97554630934337,225.50246157069597,BOT
11,142.55750050666666,136.736913326342,BOT
12,227.73583388626116,227.75066530133333,ALB
13,205.77894000656815,193.69055242796014,BOT
14,223.8752739801144,214.0882483978836,BOT
15,258.45955623188405,238.97096532123018,BOT
16,270.0158126874383,255.75615034920634,BOT
17,289.0367848399713,277.8995756907439,BOT
18,133.99569140717296,132.88015240208213,BOT
19,170.8147138420168,162.5480415164445,BOT
20,157.0819929759999,147.68647732677826,BOT
21,169.50584667338936,166.3745840152381,BOT
22,121.97571585913806,117.78431772246022,BOT
23,232.93412242168404,224.58044758974359,BOT
24,273.48373023492064,266.54894468805367,BOT
25,286.1124992,280.5833322666667,BOT
