Minisector,OCO,LEC,Fastest
0,300.00987658271606,319.78916671999997,LEC
1,239.21403236017315,244.15795351919192,LEC
2,130.74660131781877,128.2138856906404,OCO
3,235.61884802288395,238.77727237171717,LEC
4,193.53536355555556,182.87930917806563,OCO
5,250.309479752694,246.51595982857143,OCO
6,234.54966301525633,228.2123774117647,OCO
7,259.3764072636518,258.57035365755274,OCO
8,283.4247598237883,293.10977583589744,LEC
9,209.39528994190346,200.27235859743138,OCO
10,205.56907508795135,206.85738776109068,LEC
11,265.6110517079365,275.8661465469651,LEC
12,217.67831280850547,204.9240867442495,OCO
13,249.4768464927106,247.91854888602148,OCO
14,288.54249367190755,291.3446037144465,LEC
15,299.49666666666667,314.42210166459625,LEC
16,295.07100723230036,319.75783330133333,LEC
17,246.41692676666668,228.1992801003934,OCO
18,269.55058773350834,271.38074732873565,LEC
19,294.94727573333336,305.4101189259822,LEC
20,300.4004998826667,324.9722223111111,LEC
21,292.5429328122649,327.80158330946097,LEC
22,153.41954437039954,144.64931732776841,OCO
23,234.53916253067604,233.7228612095238,OCO
24,284.3407071472698,301.2411786592074,LEC
