Minisector,VER,PIA,Fastest
0,269.1423719471623,273.68317104110974,PIA
1,289.47643242718885,300.8629564495051,PIA
2,298.76043951048206,307.33037567222,PIA
3,128.46152340888906,121.3977966293976,VER
4,195.28709145171513,184.12427575134086,VER
5,253.4258778031746,255.72135764649818,PIA
6,140.19296480178593,132.6365092053457,VER
7,201.38553349004144,189.49516080328533,VER
8,257.46729092396606,253.22198208435375,VER
9,283.3996861245772,278.7325826913851,VER
10,236.79527429943965,231.10667858388214,VER
11,185.25700829547102,164.0705433634938,VER
12,183.4330721905028,185.01443074563377,PIA
13,149.99518850740182,144.29618944038882,VER
14,174.80001866021504,170.33858056504235,VER
15,163.77897728989294,160.9304902700748,VER
16,214.25927477285038,208.58382834659523,VER
17,239.37804700813186,233.626216301296,VER
18,242.30806634855546,233.75703873177002,VER
19,249.28450711143088,234.6409169066667,VER
20,144.25368881605914,142.93864448685275,VER
21,137.0690603917355,130.53439089048138,VER
22,166.74389468354732,160.4645767161354,VER
23,152.97394454999272,149.65166068690823,VER
24,226.5714913466834,224.2182306649785,VER
25,,250.70909323636363,PIA
