Minisector,HAM,LIN,Fastest
0,311.14873911950195,320.5355003984282,LIN
1,323.03232716719765,346.92376832725887,LIN
2,325.8968942109373,351.8225509746939,LIN
3,293.67420098039366,320.4592025163655,LIN
4,162.40802605282073,144.4424787184724,HAM
5,196.44391864067828,178.45041142866685,HAM
6,216.65361249528522,208.92376173006704,HAM
7,256.34020816227314,259.08081904474165,LIN
8,237.62498051090867,236.72056862465283,HAM
9,159.54858087578134,144.371205035192,HAM
10,203.91565667130794,201.80290923186757,HAM
11,127.02029509581047,122.16595021278886,HAM
12,233.7320390866633,233.30663349793548,HAM
13,176.0043952201929,157.76825713595017,HAM
14,203.74358401830975,210.40276030937537,LIN
15,219.29088727191854,209.71914952731242,HAM
16,259.80250739938276,257.813343491141,HAM
17,294.11905511071035,289.2176151786961,HAM
18,149.1816156230762,132.31887013977578,HAM
19,152.95770623353147,152.46401582030072,HAM
20,136.66697518649337,128.91186838222282,HAM
21,223.07934648377707,220.37941282251714,HAM
22,242.6553171972418,248.47724693053192,LIN
23,231.4260543644248,229.25673424368034,HAM
24,282.18476222577203,283.8139421273183,LIN
