Minisector,BOT,GRO,Fastest
0,311.63645826666664,307.7647937381812,BOT
1,243.27978485722423,233.24219515409473,BOT
2,141.18348946158642,137.65681878603087,BOT
3,223.41246413756204,220.02444636259207,BOT
4,266.1943817139126,264.97617259964727,BOT
5,292.64808538328487,288.6426266634629,BOT
6,307.71153846153845,302.806832109884,BOT
7,293.18711544588894,281.95859253333333,BOT
8,184.67394689658002,171.04949187094323,BOT
9,245.0239048452805,240.30632860104615,BOT
10,277.1234138459953,275.15400695864014,BOT
11,271.13292836221626,265.9667703983216,BOT
12,216.4860442500322,208.48437481212122,BOT
13,135.76913579465466,133.41968006109423,BOT
14,128.01861055574614,124.18016339969144,BOT
15,173.20302021789627,178.48935852122435,GRO
16,131.05538546998554,121.78209003410582,BOT
17,235.25436605019993,230.80836516892228,BOT
18,199.75772728164145,206.63536600927395,GRO
19,172.568198467252,157.43396678288772,BOT
20,253.64307906153385,249.0484817413928,BOT
21,280.48073219165747,280.363281,BOT
22,296.0602414223425,295.25835750922425,BOT
23,306.3765362730195,303.723222009293,BOT
24,310.25694435555556,307.55791702267817,BOT
25,,309.0,GRO
