Minisector,VER,HUL,Fastest
0,313.5577490863079,300.3392941499289,VER
1,255.28633198933335,244.7740726963207,VER
2,198.15013656046753,202.54547573310825,HUL
3,263.0976601041115,265.1555517520916,HUL
4,234.48220952870497,229.45209698362797,VER
5,120.77449182904161,118.96088997404138,VER
6,183.8136520549625,186.18215361327194,HUL
7,257.2721073967628,259.2334231402445,HUL
8,284.5474304985713,288.7467992593055,HUL
9,297.8155676433048,302.7079799465836,HUL
10,300.6985484806829,306.7412856057498,HUL
11,232.31333097540556,227.8931490058118,VER
12,146.6417715994759,145.53347935485957,VER
13,254.6084337237695,259.00701897480343,HUL
14,286.4720490433461,293.01803830297314,HUL
15,298.51361496962807,301.9341834836536,HUL
16,292.9768913285145,296.3190408764579,HUL
17,271.2678657043259,264.26803397285533,VER
18,194.89229173976676,187.44094996011668,VER
19,194.457117034701,185.37200779378992,VER
20,185.85108949501736,187.3815846253454,HUL
21,249.9241637363717,249.76877470543735,VER
22,131.74502799171148,128.6918373437964,VER
23,195.26488647576087,199.51113013059944,HUL
24,275.61108873673635,286.1515169692405,HUL
25,,307.8,HUL
