Minisector,ALO,PIA,Fastest
0,278.4089696651082,276.89220436544156,ALO
1,298.17605335893586,295.0629951074517,ALO
2,235.7860184911464,218.819293019166,ALO
3,112.29198912767171,109.30066651839529,ALO
4,128.53987000202898,127.75493551749618,ALO
5,247.4652863031,244.56551770490668,ALO
6,244.61043934978,241.092901739445,ALO
7,120.08529201819965,116.10347218461825,ALO
8,247.5861949786362,241.3842338742857,ALO
9,262.5678073523634,242.1428258968116,ALO
10,210.31682389939127,198.74083371276188,ALO
11,141.81139233112975,135.70079852156132,ALO
12,206.30311206856612,197.9791436798308,ALO
13,249.2259269908364,256.6823603410871,PIA
14,109.15576790525493,108.8195173048087,ALO
15,188.57602103590082,183.21516296637822,ALO
16,255.58030162873854,252.21888834035113,ALO
17,293.48554505784676,289.1240567826971,ALO
18,313.0911155665163,308.038172464,ALO
19,325.1471844708198,324.2807654087982,ALO
20,331.31344254391536,329.0598714627481,ALO
21,161.73341911940247,183.9969879290745,PIA
22,148.78752391900454,119.02462356729417,ALO
23,193.19300391941198,199.99095541351818,PIA
24,232.50797381485714,228.03634763676325,ALO
25,264.95499904,261.60625039999996,ALO
