Minisector,HAM,PER,Fastest
0,309.3742787383441,288.82853308071583,HAM
1,322.8773496781955,298.241165593985,HAM
2,326.0514706196078,303.90124997333334,HAM
3,322.9682010385965,304.4677628631579,HAM
4,176.17108499393942,186.168700079291,PER
5,209.29806727392395,215.18218406672534,PER
6,237.41750024533331,237.50316706133333,PER
7,265.0208872791279,265.5432805437317,PER
8,255.90760728115944,266.619008984853,PER
9,164.5200419686927,173.80569236539327,PER
10,228.25457854945054,235.359676382287,PER
11,132.29408760880244,137.46711516099506,PER
12,227.26774336703298,228.2172845661858,PER
13,186.42602395835146,207.97698216661476,PER
14,221.10256496410256,216.99387969514973,HAM
15,245.9469976880657,250.73692979047618,PER
16,263.0340912969697,264.69586739007855,PER
17,281.8906746920635,284.24609414009694,PER
18,161.27394680685958,181.6228165058141,PER
19,174.5923122039241,167.3661675173258,HAM
20,147.51145856,149.3724553477178,PER
21,167.50825573751732,177.16572890232874,PER
22,115.3680239000381,120.16185165557998,PER
23,221.65355022222224,220.44478786196305,HAM
24,270.83885524342236,269.0378227690828,HAM
25,,282.39583253333336,PER
