Minisector,RUS,GAS,Fastest
0,278.0862911631221,277.04848555499933,RUS
1,292.2957573947805,295.8718576635638,GAS
2,275.82296282909095,276.19967778411575,GAS
3,162.63376448296003,164.1357018444629,GAS
4,112.5096786649018,111.87574530249158,RUS
5,243.94814520817772,236.38734781084065,RUS
6,293.6654562574634,288.08672611301824,RUS
7,296.57479907214724,292.20975668420385,RUS
8,170.05325292925752,168.05532130085226,RUS
9,133.64231490002177,131.2995706491505,RUS
10,254.50193493501223,244.584767323623,RUS
11,292.939840296353,293.57373564561544,GAS
12,293.25016321091465,297.4099177728858,GAS
13,276.58599506981363,261.0504759249419,RUS
14,290.23741319947874,284.7494944006349,RUS
15,282.67618699364516,281.12644402662085,RUS
16,240.00442614627303,241.08564208536052,GAS
17,222.80438661762406,211.08565331267556,RUS
18,282.7943443650794,276.86163193087236,RUS
19,304.66994704448587,299.65374149175733,RUS
20,301.59751619530823,300.95826301848734,RUS
21,235.33978933634074,214.65772573600438,RUS
22,232.3608654157295,234.14602056491356,GAS
23,134.9017540194843,135.0764906064641,GAS
24,206.78241279284774,201.18604942296994,RUS
25,259.5750016,,RUS
