Minisector,VER,HAM,Fastest
0,290.5731459526494,297.7797956152749,HAM
1,160.10046424752883,163.96248617642917,HAM
2,155.01885433974195,155.49906231012724,HAM
3,227.83295660228063,229.13838681429846,HAM
4,285.77956817916305,290.05821166655164,HAM
5,295.7638665935997,285.84829513777777,VER
6,151.06574765549772,145.08411760814337,VER
7,143.46450151517107,141.44385521803932,VER
8,142.45861267629076,139.27458726630815,VER
9,185.98180311312268,194.84140116533882,HAM
10,131.42802653269297,133.5643250683551,HAM
11,130.61715624305128,130.5706492900391,VER
12,166.45264741502632,174.96819512250656,HAM
13,267.8509124484183,268.8949949311128,HAM
14,296.4294636523565,293.1940345878988,VER
15,159.53570788340514,155.03921601203396,VER
16,219.87084153983056,204.2011414609872,VER
17,171.9265494896623,174.87230801185822,HAM
18,271.1006781710793,271.8812878919171,HAM
19,294.2955206059467,296.41757566564763,HAM
20,307.66621857707315,311.939928458186,HAM
21,316.2335968163724,321.618766496731,HAM
22,321.22499163875557,326.0697402605898,HAM
23,323.55105639746097,329.46081733668683,HAM
24,322.0910966288048,324.4997695783872,HAM
