Minisector,VET,BOT,Fastest
0,265.98218536769076,268.5614836448391,BOT
1,135.91671917497592,132.86533836976542,VET
2,264.66343350217363,269.77372532244897,BOT
3,305.1273004746085,312.253830426501,BOT
4,303.70749994666664,310.20850693333335,BOT
5,309.7817708,321.5400176253418,BOT
6,313.84751158306875,335.82254159503105,BOT
7,315.03478265507243,339.0714014060606,BOT
8,213.4068847814672,199.50285441538392,VET
9,201.9285391814672,207.83358717499272,BOT
10,190.3242525262014,174.04742630888157,VET
11,164.51781062788112,175.8948257760714,BOT
12,253.94535719619046,260.67302043461706,BOT
13,280.07109350174346,275.766560092517,VET
14,283.9392857494505,282.05004122284345,VET
15,282.494443784127,266.5827321932894,VET
16,187.79441368273712,191.79583996591674,BOT
17,197.30267045559845,195.5039590688057,VET
18,244.65635755548746,252.0141791020582,BOT
19,291.1169287619048,293.8714064117216,BOT
20,309.82458573760186,312.73885899130437,BOT
21,316.17088000764335,316.5362351111111,BOT
22,316.3083580888889,315.036500659828,VET
23,271.65444486097437,222.73451050977656,VET
24,117.86588611666667,119.21846157806534,BOT
25,230.93333333333334,,VET
