Minisector,PER,GIO,Fastest
0,291.7931874806187,293.7596588121212,GIO
1,309.6771931508772,305.91636737288115,PER
2,317.45424389135803,311.38201784475405,PER
3,311.663389677586,310.52604181333334,PER
4,198.05638774349205,192.79973469250382,PER
5,220.45585602065154,219.63951834013605,PER
6,265.6707819064182,269.1495963526745,GIO
7,270.4123099151515,269.712014178355,PER
8,197.5243069534097,192.40791556759913,PER
9,161.83485690800026,158.18176385425204,PER
10,181.25188910833333,185.54335093485886,GIO
11,256.2660260980115,260.5014487188406,GIO
12,252.49888035352382,254.5205506059636,GIO
13,233.56673600000002,226.89644969876542,PER
14,272.23185247410197,274.2139677752828,GIO
15,177.56033995319726,172.527227539358,PER
16,221.10334087082717,218.8671944797312,PER
17,247.5640906002384,251.75720246455225,GIO
18,137.40691553280524,135.56647424494983,PER
19,241.1919133979145,239.48499936274538,PER
20,277.8620750157224,278.8265870730159,GIO
21,256.00819737613523,269.62284298450874,GIO
22,148.80436482902493,144.2129915591265,PER
23,213.17499956721784,204.28741313581742,PER
24,269.78884204611524,269.9590547664353,GIO
25,,285.52499911111113,GIO
