Minisector,HAM,PER,Fastest
0,275.66680231837364,283.473072559213,PER
1,294.5587287933422,308.72537465649964,PER
2,293.11953181241626,285.10265144242425,HAM
3,177.00824405167126,161.2161991667661,HAM
4,117.85342668890338,116.55730332696719,HAM
5,234.91313946627014,240.13875932058804,PER
6,284.1148951812171,295.40433553512486,PER
7,299.5001983500997,298.6323669621752,HAM
8,173.02286739795736,154.06729469167607,HAM
9,141.3521281141012,133.6600777399115,HAM
10,253.753581263256,253.470574046027,HAM
11,289.7124617146753,294.3875099382023,PER
12,300.98430430740717,293.2318949737252,HAM
13,278.17231317158354,264.06300604521914,HAM
14,301.1871547059701,296.87658269895496,HAM
15,302.44219352624077,296.58384937329873,HAM
16,245.56701849358507,227.80646694614393,HAM
17,218.94304936637275,215.17617328358054,HAM
18,281.148342527786,289.20429723003457,PER
19,308.3456376735651,318.63107498826577,PER
20,317.67539500926665,311.8261515873129,HAM
21,225.7251809585883,194.55222326967282,HAM
22,260.09609831760685,243.27380433570673,HAM
23,134.38310206022405,126.21526084842588,HAM
24,204.40470848887497,218.57490815823104,PER
25,245.97095302133192,,HAM
