Minisector,NOR,GAS,Fastest
0,281.3803849287982,284.0581403022999,GAS
1,220.19576184761902,230.61822268157349,GAS
2,113.88030015646795,112.85404387382829,NOR
3,197.68693589804133,199.05577893238322,GAS
4,169.70087287511583,171.27196793764747,GAS
5,222.32363525079367,218.99910652698415,NOR
6,279.5233390596491,283.6450809263158,GAS
7,297.43198677673263,308.561274227451,GAS
8,169.72338245714286,174.29120028629148,GAS
9,124.57499387151171,123.32681283826541,NOR
10,135.97471300784005,135.12687228460354,NOR
11,197.0212299118166,194.6316348019577,NOR
12,211.00420417667277,206.34233053772894,NOR
13,129.86435979537023,129.35168778453473,NOR
14,141.9992681266963,144.88955046245573,GAS
15,132.29561616786594,129.88911365468772,NOR
16,257.1306089826591,261.56397442752944,GAS
17,137.89046881486533,137.92505366543338,GAS
18,201.34638227510248,200.28861874144835,NOR
19,127.93987626838349,130.47521100955933,GAS
20,145.30609857681335,145.33866119373707,GAS
21,126.78581820579876,125.2901412019781,NOR
22,150.8612131906922,149.30316358530612,NOR
23,218.28928554666666,217.6976663893333,NOR
24,239.8687693900308,232.72847965044028,NOR
25,,265.02678628571425,GAS
