Minisector,BOT,OCO,Fastest
0,315.83664023703705,297.61865716826765,BOT
1,242.90601878437383,218.25578798323806,BOT
2,153.22445160550447,140.43081538126344,BOT
3,228.0376110131757,219.02986115555555,BOT
4,161.04537011131245,158.86648083663565,BOT
5,174.330931816159,176.53110802870026,OCO
6,250.67961621469368,249.59297052154193,BOT
7,273.6975002666667,271.9634540249665,BOT
8,277.4549392655999,282.0975942334464,OCO
9,258.93052941646266,261.2375,OCO
10,243.41131022222223,238.62130896073603,BOT
11,242.7907936507669,238.28558161329775,BOT
12,213.94086260380703,202.51277529046257,BOT
13,148.9272411477657,134.4918011434884,BOT
14,159.61672854597555,143.32298252290622,BOT
15,193.02278358601686,175.04508005879836,BOT
16,260.93871084632826,251.78741431292516,BOT
17,245.60219861251682,240.78858689855073,BOT
18,119.37121041368434,113.3776456137489,BOT
19,199.87884508717949,193.51428567477956,BOT
20,184.20430583434373,191.6065353332831,OCO
21,204.89265928937039,225.68892339544516,OCO
22,250.49598343411157,260.72438346660323,OCO
23,272.8367818142353,277.9705191494191,OCO
24,287.96988081523807,290.1828703407407,OCO
